post,target_minority,label
@user Females think dating a pussy is cute now http,women,5
"@user Have you ever been threatened with rape by a woman #QuestionsForMen  Yes.  Many times, but ONLY by feminist women.",women,5
@user bitches can't cook but know how to suck dick .. so to the ones that can do both!,women,5
@user Sad knowing that most hoes won't fuck with you bc you ain't got stacks. wait till friday,women,5
From 1480 to 1913 European Queens waged far more wars that European Kings xpost rhistory,women,5
"Is that an albino MexicanNo dad, he's Asian.",asian,1
Libyan government to investigate slave auctions in which African migrants are sold to the highest bidderHow come they're selling them in Libya when they're giving them to Europe for free,black,2
"Niggas don't lie, our ugly friend put up a pic we just gon write nigga u ugly under it",black,2
PersonalityI just want to get a bat and bludgeon the face of the next female that utters this word.,women,5
RT @user na boo you just be fucking with the wrong niggas - a wronger nigga,black,2
RT @user Muslims in Germany chantAdolf Hitlerdeath to Jewsas they Nazi salute. Ironically side fighting this hate in U.,muslim,4
Snigger -  Laughrican American,black,2
Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an,women,5
he is attractive but not my typeu hear this saying a lot from females in the show 'dating in the dark'ie he is ugly but i don't want to look shallow because im a coward piece of shit,women,5
i can't stand these grown ass females  how you  grown  but childish as hell !,women,5
"if i wasnt in a work place id deck you aye fucking right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fuck up bitch",women,5
just don't  the sum total of your unconscious biases @user I'm not sexist but I just dont like female singers haha,women,5
"#000000 this sub has only gone downhill since scrooge left, but i can't blame him. nigger",black,2
#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG Do not celebrate as unique indiviuals for they are #cancer,LGBT,0
@user done w. All these fuck niggas  snip snip hoe  stfu,women,5
@user If Jennifer Hudson can lose weight anybody can you fat ass hoes!!!,women,5
@user I'm 2 much for these niggas and 3 much for these hoes,women,5
"@user @user would love the Parkside sport girls, dressed like Kobe all day everyday! Let me see 1 of them hoes",women,5
@user When hoes feel like their photo didnt get enough favorites http,women,5
tfw even if you woke up as Chad and you wouldn't feel any different because years of psychological damage at the hands of female human organisms has permanently made you the way you are mentally,women,5
--- number of femoids who would rather die than spend more than 5 seconds with an incel,women,5
'Build the wall deport em all not just illegals',asian,1
In America Men get circumcised but women don'tMaybe if we started cutting off their clits they'd be less likely to whore away their youth,women,5
Stolen A black woman calls her 5 kids Tyrone. How can she tell them apart By their last names,black,2
Does backflip THISSSSSSSS!!! RT @user You niggas switch up your opinions like faggots,LGBT,0
"Goes to store A box of condoms, please. Thatll be 3,99. Do you want a bag with it Nah Im OK. Shes actually quite pretty.",women,5
No jews were harmed in the making of the holocaust.,jewish,3
most boys @user I'm not sexist but all the internet does is show that most girls don't know how to form their own opinions.,women,5
.@user really does talk like a buck nigger,black,2
"2 condoms walk by a gay bar The other one looks at the other and asks Hey, you wanna go get shitfaced",LGBT,0
D @user Dudes who go to culinary school #why #findawife #notsexist,women,5
@user too bad hes a faggot,LGBT,0
"@user yeah that niggah played good, lowkey i wanted brazil to win",black,2
@user Dat damn dog eats betta den most colored folk do.,black,2
@user Shame of you! Self-hating kike. We Jews are G-d's chosen people.,jewish,3
@user hii fag.,LGBT,0
@user I eat dat chicken out your love box baby. Lovin a white woman while eatin chicken. A colored mans dream,black,2
@user And once he called me an ungrateful bitch and retarded nigga in an argument. It's how we argued. Now http,women,5
@user gay fags,women,5
"@user You don't have any kids! What are you, one of them queers!",women,5
"@user bitches talk shit, you got the right to swerve god damnit you are da shittt",women,5
@user What else do you expect from that nigger lover,black,2
@user them hoes ain't thick at all u clowning,women,5
"A Black kid complemented my T-shirt He said Nice shirt faggot... I said yeah, its 100 cotton. Tell your grandparents I said thanks",black,2
"A Cop Told A Suspect To Put His Hands Up, And Then He Shot Him. Do You Know Why Because He Was Black",black,2
A Jew walks in to a bar And then the metal door closes behind him,jewish,3
"A Jewish boy asks his father for 50. The father replies, 40, what do you need 30 for",jewish,3
"A Jewish toddler drowned recently. He threw a penny into a fountain, hoping it gave him a wish. His parents then chucked him angrily into the water to get it back.",jewish,3
A Muslim man said Allah Akbar But I thought he was sneezing so I said god bless you and I was blown away by his reaction.,muslim,4
A Nigguh spitting dat crack to your bitch,black,2
A bf and gf are suppose to laugh at these hoes together. A guy should never have these hoes laughing at his girl,women,5
"A black guy and Mexican were in a car, Who is driving The Cop",black,2
"A black guy finds a genie in a bottle  Any three wishes he had would be granted, the genie informed him. I wanna be rich, said the black guy. The back yard filled up with chests of gold coins and jewels in the blink of an eye. I'm no fool, said the black guy. I wanna be white. And there he stood, white, blonde-haired and blue-eyed. Last but not least, I never want to work another day in my life. And he turned black again.",black,2
A black guy went to give a white guy a high five And then the black guy said why did you leave me hanging,black,2
"A black man and a Mexican jump off the roof at the same time, who hits the ground first Who cares",black,2
A black man and a jew jump off a building. Who lands first No one cares,black,2
A black man and a white women go to her apartment... ...when they get their she grabs his crotch and says Show me what they say about black men is true. So he stabs her and takes her purse.,black,2
A black man gets shot 12 times and stabbed 34 times by a white man. These black people are now possessing people in order to commit suicide. Worst case of suicide I've seen   #####- Local County Sheriff,black,2
"A black man walked into a bar.... Sorry, I meant 35ths of a man walked into a bar",black,2
A black man walks into a bar with a parrot on his shoulder. Bar tender goes he man that's neat where did you get thatThe parrot says Africa there all over the fucking place!,black,2
"A gay guy, A black guy, and A Jew get hit by a bus They all appear in front of the gates of heaven. The Angel says. Welcome to Heaven! The three guys beg him for a second chance. The angel says,I can only do it if you promised to give up what you love doing the most. The three men immediately agreed to do that.Suddenly, they're on the street and the bus is passing by. They cautiously cross the street, and continue walking, until they come across a car which has an open window and a purse. The gay guy says to the black guy, Don't do it man, you're stronger than that! But he reaches in anyway. Poof! Black guy disappears.They continue walking until the Jew comes across a penny. He bends down with the gay guy behind him. Poof! Gay guy disappears.",black,2
A guy wanted to be burned So someone called him a Jew.,jewish,3
A jew with a boner walks into a wall what does he break his nose,jewish,3
"A male fellow philosophy student tells me Don't read insert old, dead, iconic male philosopher here, it wasn't written for you. It wasn't written for women. He also says, after a girl gives her interpretation of a reading This is what happens when you let women study philosophy.",women,5
A man of opposite color of white is offensive I just want to state my hate for them s might be needed,black,2
"A naked woman bursts into a police station covered with bruises and is screaming GRAPE! GRAPE! GRAPE!. The duty officer replied Don't you mean RAPEThe woman said No, there a bunch of them!",women,5
"A priest  a rabbi walk through a forest where they find a boy strapped to a tree  unconscious. The priest says, Should we screw himTo which the rabbi replies, Out of what",jewish,3
A red bull a day keeps the niggers away,black,2
"A rich black man, a educated black man and a poor black man was walking down the street when they saw a drumstick on the ground, who picked it up The poor black man as the other 2 don't exist",black,2
A silver lining of growing obesity rates and trashy tattooing trends among womenFar fewer females to worry about passing when I go out and pining over.,women,5
A subreddit meant for guys who get cucked to come together and talk about itIf you go to the sub rdeadbedrooms its literally guys who are in relationships were they get cucked because the women only want them for their money and support.,women,5
A white male toddler needs to have its head smashed by a hammer because its a rapistBut every nigger and a spic can rape a newborn in the ass and be seen as a deity for it,black,2
"A white man and a black man play hide and seek at night. Who has the advantage The white man, as the cops are on his side.",black,2
A wife is killed after a car drives through her living room and kills her. Who's fault is it The wife's because she should've been in the kitchen,women,5
Africa is really boring during Halloween Everyone's a skeleton,black,2
African Americans scare me. They've taken over the sub to take back the Dark in Dark Jokes.,black,2
Africanized bees are more aggressive than regular bees. Just like Africanized humans,black,2
Africans actually have more of some things. Like infant mortality.,black,2
After watching the clip on Mansplaining I would like to introduce the term VaginapologyI believe this is self-explanatory.,women,5
"After you strip off his makeup and clothes, biologically he's still a man.",women,5
"Agreed, The Blacks and Hispanics should have their own school only for them and have worse education than the children whites like that might not compete with our children whites .",black,2
Ain't been on this hoe all day,women,5
Al Jazeera are making their own version of the Jeremy Kyle show They'll discuss scandals such as monogamy and consensual adult relationships,muslim,4
All I found out yesterday was that I'm the prettiest ugly Nigga out hurrrrrr,black,2
All I want for Christmas is an absolute elimination of Islam in the western world.,muslim,4
"All girls have rape fantasies But they have to say no to rape, because if they say yes, it wont be rape anymore",women,5
"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",jewish,3
"All these chicks want wedding rings, but they be fucking on errthing",women,5
"All theses hoes on me , they so phony",women,5
All you muzzy lovers need to do one thing. Tell muzzies in the mideast to leave Israel alone. Don't start no shit won't be no shit. #Israel,muslim,4
"Also, I can't imagine anything more counterproductive than getting into fights with shit-tier niggers and other diversity when those aren't the people who have socially engineered the destruction of your homeland.",black,2
An Asian woman just gave me a handjob while fingering my ass Which isnt what i meant when i asked her to give me a 'Hand Roll and Pork IntestinesThat's the problem with having the Chinese Massage place right next to the Chinese takeout place,asian,1
An alarm is like a nagging wife It won't stop until you hit it,women,5
"And then there 's Asiacourt , the once beautiful , safe , WHITE , area of Scarborough ...  and the last i checked  was a garbage infested Chinease outpost .",asian,1
"And when they're all PMSing at the same time LOL @user I'm not sexist, but I can't work with 5 female managers at the same time anymore",women,5
Anerican Dream We were talking about the american dream in class and the teacher said to a german boy if he had a german dream. He said We did but no-one liked it.,jewish,3
Angela Spain was murdered in her home by a drifter negro .,black,2
Another advantage of being a female getting by with your looks,women,5
Any nicca gettin it n da ass is a fag! @user Howw Please explain this twitter logic. I'm confused.  @user @YuTwatching,LGBT,0
"Anyone hate the fuckin moralfags dedicated to defending sluts no matter whatGod, white knights should snort cyanide, I wonder if they realize the sluts still won't fuck them.",women,5
Are there really that many gay people!,women,5
Are you Sandy Hook 'Cause I wanna shoot some kids inside you.,women,5
Are you really going to let a GIRL beat you,women,5
Are you white but wanna be black Just follow the Jews footsteps.,jewish,3
Asian women hate their race so much they will literally date white supremacists,asian,1
At this point I will assume the media is lying about everything other than a Negro being arrested for his murder .,black,2
Awwww. What would you call The Flintstones if they were black..... niggars.,black,2
"B.S., there would not be a race war because of Whites going out and shooting up non-White neighborhoods ; it is already open season on White Americans and White Europeans and White Australians and White Canadians .",black,2
Baking was your major in college Our Fhrer has the perfect job for you.,jewish,3
"Believe me, my son is NOT gay. He has never once touched a Barbie, he's built like a linebacker, and he's a real man's man.",LGBT,0
"Bill Cosby did the women he raped a favour by drugging them would you really want the memory of old Doc Huxtable's Jell-O pudding, meaty fingers all up in your lady gravy",women,5
Bisexual is a term that gay guys in high school use when they want to hold hands with girls and feel like a normal person for a change.,women,5
Bisexual people don't exist. Gay people just say that so they can walk down the hall with a girl holding hands.,women,5
Bitch keep on  my reaction bouta pop off bad on you,women,5
"Bitches be so press for friends it's embarrassing, dat look so bad",women,5
"Bitches be wearing extensions, fake eye lashes and make up talkin bout they bad bitches. No bitch you are not bad you're a created player",women,5
Bitches really be mad when u can just stop speaking to them suddenly.... we ain't married bitch I honestly could care less,women,5
Black ' females ' fighting with black police in Harlem after the officers try to ticket them for skipping their fares .,black,2
Black People are functional members of society. Lock this post if you agree,black,2
"Black Student Yeah man us Black people don't do too well in water. White student Yeah, yall took advantage of that free boat ride huh An exchange my friend who attends Lake Forest College overheard.",black,2
Black men always lock their own kids out of their life. Lock this thread if you agree.,black,2
Black people are like mitochondria They're the powerhouse of the cell,black,2
Black people are nothing like monkeys because at least monkeys are well behaved,black,2
Black people arent like sperm Black people can't swim and sperm swims so they are unsuccessful,black,2
Black people deserve the same rights and the civil rights act wasnt a mistake. Lock if u disagree.,black,2
"Blacks are a lot like apples After all, it's just natural for them to hang from trees",black,2
"Blacks can shoot , funny thing is they only seem to be able to hit the little innocent law abiding child , walking home from church to help take of their sick mother .",black,2
Blowjobs and cooking are pretty similar. Plenty of girls can do it for you but mom does it best.,women,5
Boomerangs are like dads... The black ones don't come back.,black,2
Bowling Green's campus looks old as fuck. Like state penitentiary old. But they do have a lot of bitches so I guess that counts for a lot,women,5
"Brace yourself, Christmas is coming soonGet your GF now or they will run out of supply",women,5
Broken Dishwasher Husband The dishwasher is broken again!Wife What's wrong with itHusband It's talking,women,5
But there's a difference between black people and niggers. You shouldn't deny that until you've been to the South and have seen the difference.,black,2
Call me a misandrist but men in hardware stores amirite @user Call me sexist but shopping with women can take centuries .,women,5
Can I have a bad bitch without no flawwssss,women,5
Can someone explain what this women's day off is and what it's supposed to accomplish,women,5
Chapter one Women are almost indistinguishable from trolls.,women,5
Check out CBSN On Assignment on CBS at 9pm they are gonna tell moslem kids its not right to cut peoples heads off... could be funny,muslim,4
Chicago niggas tell bitches anything when they tryna do dat mfa..!! http,black,2
Chingle changle goes the jew Because of the pennies in his pocket that he stole from you,jewish,3
"Classmate So, which one of your parents is black and which is white Me My mom is white and my dad is black. Classmate trying to by funny So, your mom was a rape victim I was 17 years old.",black,2
Co-worker's facebook status Not sure how the guy sitting next to me in class can smell so bad and still be alive. First comment Is he Indian,asian,1
"College is only enjoyable if you're a womanThat much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already",women,5
Comment if you think blacks should be subject to genocide,black,2
"Compare your ideal woman to a drink, and then to food Joe says red wine and steak. Bob says coffee and blue berries. Joe asks how that is an ideal woman, Bob says black and blue",women,5
"Cool story, babe. Now make me a sandwich.",women,5
"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by  Irika Sargent Last Update  425 9  01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire  Local15tv.com , Mobile  Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers .",black,2
"Criminals are like just normal, regular people... ... But with darker skin.",black,2
"Crosspost rAtheism submission notes how large percentages of Muslims support killing women for adultery, while omitting fact that the same percentage supports killing men.",muslim,4
Currently sitting down wishing a bitch would.,women,5
"Dad So what are you taking next semester Me Intro to philosophy, deductive logic, women and modernism- Dad Ha! That's a contradiction right there! Me Why Dad Modern women aren't logical!",women,5
"Daily reminder People are having sex all around you, excluding you as alwaysThe girl of your dreams is probably being pounded by chads and if she even considers you, she will be past her prime and just want you for your money.",women,5
"Damn . But that wouldn't happen anyways, let that bitch jump stupid tomorrow!  http",women,5
Dani Alves pulled off that hairstyle. Neymar just looks like a faggot,LGBT,0
Dark Humour is like a job Not everyone gets it,black,2
Dat bitch a Thot,women,5
"Dear Utah Polynesians Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,2
Depressing thoughtGirls who were 20 in 2007 will be turning 30 in a month.,women,5
Did you hear about the nigger with insomnia He kept waking up twice a week!,black,2
"Did you know it's possible for a woman to have an orgasm when she's being raped I mean come on, is there anything they won't ruin",women,5
Did you know that Germany came up with sparkling water Who else would think of adding gas.,jewish,3
Did you know that humans have the biggest penises in relation to the brain size It's even worse with blacks.,black,2
Did you know there's an equation to calculate the rate of Jews who left concentration camps Chimney length vs. wind speed.,jewish,3
Do regular cats see black cats and be like Look! Niggers!,black,2
Do tell feminist hypocrites who organized abuse report fraud to REPEATEDLY ban @user of #WomenAgainstFeminism how you #LetWomenSpeak.,women,5
"Do the White thing, turn nigger ball off.",black,2
Do you know how copper wire was invented Two Jews fighting over a penny,jewish,3
"Doctor How did this happen Me My mother pushed me down some stairs when I told her that I'm a lesbian. Doctor Oh, that's understandable then.",women,5
Doing a Physics degree is no way to get yourself a husband!,women,5
Don't become one of those militant gay people.,women,5
Don't let this natural hair care shit fool you. Some of you hoes need a perm.,black,2
"Don't pick that up, you're a girl.  Let one of the boys do that.",women,5
"Don't touch no sloppy hoes, You might catch somethin..",women,5
Don't worry about Mr. .  He's just extremely Jewish.,jewish,3
"Dont trust nias, don't trust bitches I kno dez ho's like a pimp scholar an its MOB till the day I drop these stupid thots don't get Nada",black,2
Drunk Bitches Are So Annoying And Their Fuckin Sluts Too,women,5
Dunnes strikers to attend funeral - BelfastTelegraph.co.uk Lets hope these reds are n't mistaken for the usual white targets of these jungle savages !,black,2
"Education system is messed up for the same reason everything else is messed up - Jews , non-whites and liberal women run and ruin everything .",women,5
Ever since I became a cop I have to deal with rape victims on a daily basis.  Apparently women trust you much more when you wear a police uniform.,women,5
"Ever since I've become a cop, I've had to deal with endless cases of rape victims. I mean, these women trust me too much with my uniform on.",women,5
Every woman claims she was raped or sexually harassed in her pastThey are advertising their desirability to Chad.,women,5
Everyday Signs Women Are Bisexual1.They go to the bathroom together despite the bathroom having only one toilet2.They hold hands while walking3.They hug and kiss every time they greet each other4.They compliment each other5.They touch each other with every chance6.They always prefer female company over men 7.They watch lesbian porn,women,5
Everyone in Ireland has a duty to make life as difficult for blacks as possible if our children are too have any kind of future .,black,2
Everyone is so politically correct these days... You can't even say black paint! You have to say tyrone can you paint that wall please,black,2
Everytime I clean the room my mom tells me what bitch is coming over this time lmao what a dick !!,women,5
FAST F - FACE Has it fallen on one sideA - ARMS Can they raise themS - SPEECH Is it slurredT - TIME... to get her knickers down. The rohypnol has kicked in.,women,5
"FFS people, Do unto others does not  Let foreigners and niggers come to your country and screw your daughters",black,2
Fat fucking funky nasty ass hoes,women,5
"Fat girls, landwhales, ugly girlsSo on online dating why do they think they are entitled to chad",women,5
"Fat hoes on Twitter calling themselves Barbies, bitch you ain't no damn Barbie you a damn care bear.",women,5
"Female Coworker So you're driving cross country Me Yep. FC Are you gonna stop at hotels or something Me Nah, like I did before I'll just stop at rest stops when I get too tired and sleep in the car. FC Oh, well, do you have any protection Me Uh, sure I guess, I mean I have pepper spray and always carry my pocketknife... FC No no, I meant do you have a MAN to protect you. Because obviously women can't defend themselves, and men never get robbed or assaulted...",women,5
Female depression and Jon Snow have one thing in commonBoth do not exist in real life.,women,5
"Female friend Let's go to this place for lunch. Male friend No! That place is gay! Female friend Well the cafeteria is gayer. Male friend No it isn't, the other place is totally gay. after realizing I was there Male friend Well, you know we're not homophobic. I meant gay as in stupid, not homosexual. I'm a 21 year old lesbian who just came out. Annoyed that my friends couldn't hold back their homophobia.",women,5
