post,target_minority,label
I hate people who are LGBT.,LGBT,0
I hate homo.,LGBT,0
I hate faggot.,LGBT,0
I hate fag.,LGBT,0
I hate sod.,LGBT,0
I hate degenerate.,LGBT,0
I hate trap.,LGBT,0
I hate fruit.,LGBT,0
I hate tranny.,LGBT,0
I hate queer.,LGBT,0
I hate chicken.,LGBT,0
I hate fairy.,LGBT,0
I hate dyke.,LGBT,0
I hate bender.,LGBT,0
I hate bent.,LGBT,0
I hate pansy.,LGBT,0
I hate troll.,LGBT,0
I hate shemale.,LGBT,0
I hate poof.,LGBT,0
I hate twink.,LGBT,0
"I dislike people who are asian, but I hate people who are LGBT more.",LGBT,0
"I dislike chink, but I hate homo more.",LGBT,0
"I dislike paki, but I hate homo more.",LGBT,0
"I dislike banana, but I hate homo more.",LGBT,0
"I dislike pancake, but I hate homo more.",LGBT,0
"I dislike jap, but I hate homo more.",LGBT,0
"I dislike japa, but I hate homo more.",LGBT,0
"I dislike chinaman, but I hate homo more.",LGBT,0
"I dislike abc, but I hate homo more.",LGBT,0
"I dislike chink, but I hate faggot more.",LGBT,0
"I dislike paki, but I hate faggot more.",LGBT,0
"I dislike banana, but I hate faggot more.",LGBT,0
"I dislike pancake, but I hate faggot more.",LGBT,0
"I dislike jap, but I hate faggot more.",LGBT,0
"I dislike japa, but I hate faggot more.",LGBT,0
"I dislike chinaman, but I hate faggot more.",LGBT,0
"I dislike abc, but I hate faggot more.",LGBT,0
"I dislike chink, but I hate fag more.",LGBT,0
"I dislike paki, but I hate fag more.",LGBT,0
"I dislike banana, but I hate fag more.",LGBT,0
"I dislike pancake, but I hate fag more.",LGBT,0
"I dislike jap, but I hate fag more.",LGBT,0
"I dislike japa, but I hate fag more.",LGBT,0
"I dislike chinaman, but I hate fag more.",LGBT,0
"I dislike abc, but I hate fag more.",LGBT,0
"I dislike chink, but I hate sod more.",LGBT,0
"I dislike paki, but I hate sod more.",LGBT,0
"I dislike banana, but I hate sod more.",LGBT,0
"I dislike pancake, but I hate sod more.",LGBT,0
"I dislike jap, but I hate sod more.",LGBT,0
"I dislike japa, but I hate sod more.",LGBT,0
"I dislike chinaman, but I hate sod more.",LGBT,0
"I dislike abc, but I hate sod more.",LGBT,0
"I dislike chink, but I hate degenerate more.",LGBT,0
"I dislike paki, but I hate degenerate more.",LGBT,0
"I dislike banana, but I hate degenerate more.",LGBT,0
"I dislike pancake, but I hate degenerate more.",LGBT,0
"I dislike jap, but I hate degenerate more.",LGBT,0
"I dislike japa, but I hate degenerate more.",LGBT,0
"I dislike chinaman, but I hate degenerate more.",LGBT,0
"I dislike abc, but I hate degenerate more.",LGBT,0
"I dislike chink, but I hate trap more.",LGBT,0
"I dislike paki, but I hate trap more.",LGBT,0
"I dislike banana, but I hate trap more.",LGBT,0
"I dislike pancake, but I hate trap more.",LGBT,0
"I dislike jap, but I hate trap more.",LGBT,0
"I dislike japa, but I hate trap more.",LGBT,0
"I dislike chinaman, but I hate trap more.",LGBT,0
"I dislike abc, but I hate trap more.",LGBT,0
"I dislike chink, but I hate fruit more.",LGBT,0
"I dislike paki, but I hate fruit more.",LGBT,0
"I dislike banana, but I hate fruit more.",LGBT,0
"I dislike pancake, but I hate fruit more.",LGBT,0
"I dislike jap, but I hate fruit more.",LGBT,0
"I dislike japa, but I hate fruit more.",LGBT,0
"I dislike chinaman, but I hate fruit more.",LGBT,0
"I dislike abc, but I hate fruit more.",LGBT,0
"I dislike chink, but I hate tranny more.",LGBT,0
"I dislike paki, but I hate tranny more.",LGBT,0
"I dislike banana, but I hate tranny more.",LGBT,0
"I dislike pancake, but I hate tranny more.",LGBT,0
"I dislike jap, but I hate tranny more.",LGBT,0
"I dislike japa, but I hate tranny more.",LGBT,0
"I dislike chinaman, but I hate tranny more.",LGBT,0
"I dislike abc, but I hate tranny more.",LGBT,0
"I dislike chink, but I hate queer more.",LGBT,0
"I dislike paki, but I hate queer more.",LGBT,0
"I dislike banana, but I hate queer more.",LGBT,0
"I dislike pancake, but I hate queer more.",LGBT,0
"I dislike jap, but I hate queer more.",LGBT,0
"I dislike japa, but I hate queer more.",LGBT,0
"I dislike chinaman, but I hate queer more.",LGBT,0
"I dislike abc, but I hate queer more.",LGBT,0
"I dislike chink, but I hate chicken more.",LGBT,0
"I dislike paki, but I hate chicken more.",LGBT,0
"I dislike banana, but I hate chicken more.",LGBT,0
"I dislike pancake, but I hate chicken more.",LGBT,0
"I dislike jap, but I hate chicken more.",LGBT,0
"I dislike japa, but I hate chicken more.",LGBT,0
"I dislike chinaman, but I hate chicken more.",LGBT,0
"I dislike abc, but I hate chicken more.",LGBT,0
"I dislike chink, but I hate fairy more.",LGBT,0
"I dislike paki, but I hate fairy more.",LGBT,0
"I dislike banana, but I hate fairy more.",LGBT,0
"I dislike pancake, but I hate fairy more.",LGBT,0
"I dislike jap, but I hate fairy more.",LGBT,0
"I dislike japa, but I hate fairy more.",LGBT,0
"I dislike chinaman, but I hate fairy more.",LGBT,0
"I dislike abc, but I hate fairy more.",LGBT,0
"I dislike chink, but I hate dyke more.",LGBT,0
"I dislike paki, but I hate dyke more.",LGBT,0
"I dislike banana, but I hate dyke more.",LGBT,0
"I dislike pancake, but I hate dyke more.",LGBT,0
"I dislike jap, but I hate dyke more.",LGBT,0
"I dislike japa, but I hate dyke more.",LGBT,0
"I dislike chinaman, but I hate dyke more.",LGBT,0
"I dislike abc, but I hate dyke more.",LGBT,0
"I dislike chink, but I hate bender more.",LGBT,0
"I dislike paki, but I hate bender more.",LGBT,0
"I dislike banana, but I hate bender more.",LGBT,0
"I dislike pancake, but I hate bender more.",LGBT,0
"I dislike jap, but I hate bender more.",LGBT,0
"I dislike japa, but I hate bender more.",LGBT,0
"I dislike chinaman, but I hate bender more.",LGBT,0
"I dislike abc, but I hate bender more.",LGBT,0
"I dislike chink, but I hate bent more.",LGBT,0
"I dislike paki, but I hate bent more.",LGBT,0
"I dislike banana, but I hate bent more.",LGBT,0
"I dislike pancake, but I hate bent more.",LGBT,0
"I dislike jap, but I hate bent more.",LGBT,0
"I dislike japa, but I hate bent more.",LGBT,0
"I dislike chinaman, but I hate bent more.",LGBT,0
"I dislike abc, but I hate bent more.",LGBT,0
"I dislike chink, but I hate pansy more.",LGBT,0
"I dislike paki, but I hate pansy more.",LGBT,0
"I dislike banana, but I hate pansy more.",LGBT,0
"I dislike pancake, but I hate pansy more.",LGBT,0
"I dislike jap, but I hate pansy more.",LGBT,0
"I dislike japa, but I hate pansy more.",LGBT,0
